"n","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
50,0,1,0,4,-1,5.02699418631016e-05,0.04703151045231,5.40112369597709e-05,0.0479024086990547,0.000422342271956752,0.1433037337273,4.1968019424496e-05,0.0451390752958609,3.66742927355416e-05,0.0581371100232157,1.07116778012247,1.07361665378402,1.07484478598751,1.21484406329341,1.08588657440606
50,0,1,0,4,-0.8,2.23939129409908e-05,0.048393335699116,2.72855735239456e-05,0.0487372938472921,0.000158705639541218,0.145882495072032,3.81927999130165e-05,0.0465161153496177,1.89049560945801e-06,0.060754446973181,1.06553548443279,1.07030442800354,1.07070398971493,1.21501567848625,1.0895471818889
50,0,1,0,4,-0.6,3.59941689717358e-05,0.048633513962546,3.43144108619849e-05,0.0491061145960018,0.00038357446336592,0.158909260965763,1.83211316352926e-05,0.0460669410704316,8.8707748076113e-05,0.063895399341873,1.07414658123377,1.07775366872047,1.07855530351804,1.24040120949686,1.09567750489277
50,0,1,0,4,-0.4,4.11283784678492e-05,0.0465828505388795,4.18505430013051e-05,0.0469259654944509,1.30715249206814e-05,0.154162137479532,6.79657219685836e-05,0.0432073531024471,3.28876006961971e-05,0.0603128976218423,1.04337574558107,1.04944460339765,1.05000578279655,1.20323854202838,1.06687375375265
50,0,1,0,4,-0.2,3.0847283614408e-05,0.0458397195306325,3.2934693180451e-05,0.0460892781403873,0.000590481728847419,0.143694638377009,6.84268618883923e-06,0.0425816218357891,5.55090102763564e-05,0.0574764417313092,1.05100945087513,1.05440842368648,1.05414171811083,1.19196849815192,1.06905787342147
50,0,1,0,4,0,3.82377945852548e-05,0.0481661637096917,2.88390372049207e-05,0.0494578716038869,0.000368935471947736,0.158164932194121,4.06489008273312e-05,0.0452482978410047,6.48211639395734e-06,0.0615905686854271,1.06575746797493,1.06799313611813,1.06971305548173,1.21610338525899,1.08324428655297
50,0,1,0,4,0.2,5.72009135799974e-05,0.0477824428628767,0.000104283856452007,0.050142742794652,0.00107733230085794,0.139614621096382,1.93256692593055e-05,0.0451652456133236,0.000248727089386208,0.0599515776505384,1.08002662409747,1.08323905661105,1.0859708445375,1.2083588713611,1.10073308767388
50,0,1,0,4,0.4,0.000388945163183548,0.0486440794175819,0.000346375956460358,0.0485730326069832,0.00166823323243053,0.149919030580073,0.00037605549842011,0.0464636367908725,0.000860834382578633,0.0606028543907505,1.0818561997083,1.08391610750562,1.08356432000093,1.22783284811884,1.09874657132152
50,0,1,0,4,0.6,0.000349119933996992,0.044300736374181,0.000330071900951655,0.0454777803183838,0.000274002310606481,0.144122447387514,0.000455986742388444,0.0416801407745976,0.000208764414647119,0.0606973499901583,1.07715302209658,1.08069046885636,1.08282673888783,1.22307560664837,1.10192572263648
50,0,1,0,4,0.8,0.000338601465176597,0.0488623769374221,0.000349016891178695,0.0499685464869658,0.000387035385735085,0.159548097944865,0.000303871556159876,0.0447719959145629,0.000570154627874432,0.0710411862573216,1.04839923506571,1.05168228471594,1.0525489355365,1.18972915561574,1.07735264332029
50,0,1,0,4,1,0.000292287568737643,0.0469172447587232,0.000351706116280642,0.0472642197759392,0.00198706317592397,0.135728681012137,0.000229866292090813,0.04413452037818,0.000597233719681572,0.0600069543125587,1.04280783295545,1.04746027784499,1.04830823634043,1.17292710138759,1.06352603819601
50,0.1,1,0,4,-1,0.00861056576422342,0.0481084432158073,0.00789512708468831,0.0493273131342982,0.00282586662862101,0.145928324259256,0.0107708132518551,0.0464700660890973,0.00336244521706152,0.0600126534437552,1.07632345933582,1.0783777286554,1.0777241364903,1.22191829903894,1.09285109839245
50,0.1,1,0,4,-0.8,0.00920574652087827,0.0618262011213687,0.00681713919633447,0.0631235786622434,0.00193474695086418,0.187784189508897,0.016213713424957,0.0705136843188674,0.00490908280746911,0.0668340934662042,1.10553183375431,1.08651407400291,1.08426439476507,1.24853423544102,1.08773572753101
50,0.1,1,0,4,-0.6,0.00934736715572649,0.0511008865339984,0.00413253151509197,0.0516368608890129,0.000546105430677155,0.141245088903099,0.0240367797846554,0.0675236675010474,0.00573869939677052,0.0598898271759854,1.0957825497985,1.06350865128786,1.06187732682492,1.18851426737678,1.07437853386312
50,0.1,1,0,4,-0.4,0.0151619100222034,0.0605344932342208,0.00607142879515006,0.0617078735879762,0.00291003885525266,0.14809823921597,0.0463342916480749,0.0883184910743026,0.00616896357490959,0.0686547456728287,1.16037388499753,1.09386928062321,1.09001635676181,1.21949904674847,1.09995514782228
50,0.1,1,0,4,-0.2,0.0193906241768514,0.0751308757676218,0.00661816510379709,0.0713918701290154,0.0012267813867694,0.161301404919349,0.0701388765402888,0.116091881415658,0.00830533102821097,0.0778468490324528,1.25303319031567,1.14362389115151,1.12643941428766,1.25777198782483,1.13776714410362
50,0.1,1,0,4,0,0.0285811630885647,0.0669682153918043,0.00596884303345889,0.0647041167975179,0.000639559570477702,0.160941151674063,0.120519741577799,0.129773659165984,0.00942406158011369,0.0664233750133544,1.27690535861082,1.10685490025565,1.08038271401875,1.21507064961321,1.08915058948675
50,0.1,1,0,4,0.2,0.023343049149798,0.0740808306647018,0.0028277381812922,0.0716035875208174,0.000567411546332076,0.17461449861955,0.133371170776079,0.148817615913579,0.00887249819669595,0.0737704669322845,1.31982114073339,1.12082997293583,1.09822034211302,1.24413299611833,1.11008104279335
