"","true_beta_1","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ols_pr","ols_diag_pr","robust_m_pr","robust_mm_pr","robust_s_pr"
"1",0,0.4,0,0,4,0.07,0.105,0.085,0.085,0.06
"2",0,0.4,1,0,4,0.055,0.085,0.06,0.08,0.075
"3",0,0.4,2,0,4,0.05,0.08,0.05,0.04,0.07
"4",0.02,0.4,0,0,4,0.025,0.1,0.025,0.05,0.05
"5",0.02,0.4,1,0,4,0.05,0.075,0.045,0.05,0.07
"6",0.02,0.4,2,0,4,0.05,0.085,0.05,0.06,0.035
"7",0.04,0.4,0,0,4,0.11,0.16,0.105,0.11,0.11
"8",0.04,0.4,1,0,4,0.085,0.145,0.08,0.095,0.055
"9",0.04,0.4,2,0,4,0.08,0.095,0.07,0.09,0.04
"10",0.06,0.4,0,0,4,0.145,0.165,0.125,0.13,0.11
"11",0.06,0.4,1,0,4,0.11,0.16,0.11,0.1,0.09
"12",0.06,0.4,2,0,4,0.065,0.11,0.065,0.06,0.09
"13",0.08,0.4,0,0,4,0.205,0.25,0.195,0.21,0.12
"14",0.08,0.4,1,0,4,0.14,0.185,0.14,0.15,0.075
"15",0.08,0.4,2,0,4,0.11,0.15,0.09,0.11,0.045
"16",0.1,0.4,0,0,4,0.29,0.285,0.245,0.28,0.12
"17",0.1,0.4,1,0,4,0.19,0.235,0.175,0.16,0.15
"18",0.1,0.4,2,0,4,0.11,0.16,0.095,0.11,0.055
"19",0.12,0.4,0,0,4,0.38,0.415,0.38,0.365,0.145
"20",0.12,0.4,1,0,4,0.295,0.35,0.29,0.295,0.135
"21",0.12,0.4,2,0,4,0.18,0.25,0.17,0.185,0.075
"22",0.14,0.4,0,0,4,0.485,0.54,0.445,0.475,0.195
"23",0.14,0.4,1,0,4,0.3,0.36,0.31,0.31,0.145
"24",0.14,0.4,2,0,4,0.205,0.335,0.205,0.21,0.115
"25",0.16,0.4,0,0,4,0.55,0.57,0.535,0.545,0.205
"26",0.16,0.4,1,0,4,0.3,0.415,0.3,0.285,0.145
"27",0.16,0.4,2,0,4,0.22,0.35,0.21,0.23,0.125
"28",0.18,0.4,0,0,4,0.715,0.735,0.715,0.73,0.235
"29",0.18,0.4,1,0,4,0.56,0.605,0.54,0.54,0.25
"30",0.18,0.4,2,0,4,0.41,0.52,0.365,0.39,0.12
"31",0.2,0.4,0,0,4,0.785,0.765,0.755,0.76,0.285
"32",0.2,0.4,1,0,4,0.64,0.675,0.625,0.62,0.285
"33",0.2,0.4,2,0,4,0.435,0.44,0.415,0.405,0.125
"34",0.22,0.4,0,0,4,0.825,0.845,0.825,0.84,0.38
"35",0.22,0.4,1,0,4,0.805,0.815,0.81,0.795,0.315
"36",0.22,0.4,2,0,4,0.445,0.605,0.445,0.42,0.185
"37",0.24,0.4,0,0,4,0.935,0.92,0.925,0.935,0.395
"38",0.24,0.4,1,0,4,0.78,0.78,0.755,0.75,0.29
"39",0.24,0.4,2,0,4,0.56,0.69,0.56,0.55,0.25
"40",0.26,0.4,0,0,4,0.97,0.94,0.955,0.955,0.485
"41",0.26,0.4,1,0,4,0.905,0.835,0.885,0.89,0.385
"42",0.26,0.4,2,0,4,0.62,0.71,0.61,0.58,0.24
"43",0.28,0.4,0,0,4,0.97,0.965,0.985,0.985,0.57
"44",0.28,0.4,1,0,4,0.885,0.875,0.855,0.855,0.38
"45",0.28,0.4,2,0,4,0.67,0.76,0.65,0.625,0.255
"46",0.3,0.4,0,0,4,0.975,0.975,0.975,0.975,0.58
"47",0.3,0.4,1,0,4,0.905,0.895,0.9,0.895,0.52
"48",0.3,0.4,2,0,4,0.705,0.805,0.695,0.67,0.37
"49",0.32,0.4,0,0,4,0.98,0.985,0.98,0.98,0.56
"50",0.32,0.4,1,0,4,0.97,0.965,0.965,0.96,0.52
"51",0.32,0.4,2,0,4,0.785,0.84,0.76,0.765,0.375
"52",0.34,0.4,0,0,4,1,1,1,1,0.645
"53",0.34,0.4,1,0,4,0.985,0.96,0.97,0.975,0.525
"54",0.34,0.4,2,0,4,0.805,0.885,0.795,0.765,0.355
"55",0.36,0.4,0,0,4,1,0.99,1,0.995,0.7
"56",0.36,0.4,1,0,4,0.985,0.98,0.98,0.985,0.635
"57",0.36,0.4,2,0,4,0.845,0.92,0.855,0.815,0.39
"58",0.38,0.4,0,0,4,1,1,1,1,0.705
"59",0.38,0.4,1,0,4,0.985,0.98,0.975,0.97,0.7
"60",0.38,0.4,2,0,4,0.92,0.965,0.89,0.865,0.485
"61",0.4,0.4,0,0,4,1,0.995,1,1,0.825
"62",0.4,0.4,1,0,4,1,1,1,1,0.67
"63",0.4,0.4,2,0,4,0.94,0.95,0.92,0.9,0.425
"64",0.42,0.4,0,0,4,1,1,1,1,0.88
"65",0.42,0.4,1,0,4,0.995,0.995,0.995,0.99,0.735
"66",0.42,0.4,2,0,4,0.895,0.95,0.905,0.885,0.425
