"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0,1,0,4,-1,0.000106654500008791,0.0212933980125634,0.021314878920522,0.000115370368127532,0.0220458452979741,0.0220730322849097,0.000235623695192849,0.071303564702863,0.0712539741392444,0.000130053880367405,0.0203281360540891,0.0203768773902401,3.33897208924812e-05,0.0288778772131588,0.0287957554251986,1.08250546706457,1.08736638134819,1.08965737144032,1.23871807262474,1.10442175577924
0,1,0,4,-0.8,0.000156138862403028,0.0233560206367177,0.0234187354165739,0.000161944135484482,0.0236980606071646,0.0237652125002204,0.000332184844753471,0.0784616483306544,0.0784799865820853,0.000162578094169565,0.0225660538257162,0.0226383677045828,0.000213402051061096,0.0288568619383841,0.0289548365416916,1.0524448226765,1.05347944875653,1.05500927067406,1.20062019363098,1.06670491133537
0,1,0,4,-0.6,9.47828177053823e-07,0.0224687984282071,0.0223798710626713,9.46107231787665e-07,0.02263127973647,0.0225417007247559,8.96738683066857e-05,0.0737486248510478,0.0735433042199503,1.82364002360836e-06,0.0207808445693741,0.0206995448311202,7.70752563687164e-06,0.0300300941605706,0.0299176813095652,1.05596238689386,1.06012321746982,1.06140350650408,1.21354659645861,1.08222262707084
0,1,0,4,-0.4,1.6196308434466e-05,0.0225441669288113,0.0224701865695305,1.52814930851956e-05,0.0236254124754468,0.0235461923186302,0.000549936940256926,0.0753702724576748,0.075618728308101,2.83186202119951e-06,0.0214191115061244,0.0213362669221211,7.46435250657937e-05,0.0264320389021676,0.0264009542716248,1.06677964975766,1.06956453404317,1.0730810290117,1.22264826342353,1.08236639308898
0,1,0,4,-0.2,8.74755911893203e-05,0.0234243007987507,0.023418079186745,8.00239943936076e-05,0.0237433414073646,0.0237283920361288,0.000167123615457113,0.0702635739394253,0.0701496432591247,9.78053841423184e-05,0.0228838823971225,0.0228901522516763,0.000325102040675254,0.0304928749206977,0.0306960054616902,1.07056930621905,1.07319144256403,1.0740713127837,1.22097345273863,1.0873548894911
0,1,0,4,0,0.000194538211143289,0.023502971587297,0.0236034979120911,0.000170454083737841,0.024659960337347,0.0247317745797355,0.000267697706162303,0.0748879983812526,0.0748561440938899,0.000159491808580729,0.0226887413578006,0.0227574782009502,0.000135141410797163,0.0288315209526215,0.0288513362796082,1.06270097960606,1.06568912257887,1.06925691262742,1.22409392458621,1.07867684367546
0,1,0,4,0.2,5.94735026280176e-05,0.0216891506246688,0.0216618675247982,9.43911216986291e-05,0.02239564637578,0.0224004549119755,0.000127467748607464,0.0694623530943312,0.0693119714305614,5.02689574662296e-05,0.0207240683870257,0.0206914410709439,3.18088711612141e-05,0.02898153947863,0.0288974221918766,1.06319194011966,1.06740478466588,1.0694310025864,1.21612643896178,1.08591485124744
0,1,0,4,0.4,7.582779544482e-05,0.0241676921502103,0.0241468491770543,7.25471144856219e-05,0.0246228880635599,0.0245969436257913,9.8182486979499e-05,0.0724650419742422,0.0722733642933248,5.12154049136964e-05,0.0224835028326408,0.0224447842262239,9.0258617523755e-05,0.0305489278736073,0.0305169907796366,1.07195764839064,1.07482880973718,1.07676478824671,1.20839088916683,1.08753875359305
0,1,0,4,0.6,2.11008089364329e-05,0.022551239935878,0.0224821357850709,1.59747083196463e-05,0.0224863387760889,0.0224123681293042,1.02647929608336e-05,0.0744677917089019,0.0741801853350271,2.10422733670166e-05,0.0212206116514415,0.0211567714782028,1.50392843236662e-05,0.0285834197360247,0.0284841253414042,1.03819735278651,1.04128386273912,1.04102525000268,1.1844791674637,1.05564133475558
0,1,0,4,0.8,7.39767899625725e-05,0.0219287178504807,0.0219149797690413,7.13716539763529e-05,0.0225822482141932,0.0225632908753128,0.000552820537110631,0.0840948003624172,0.0843112416980782,9.72169156562059e-05,0.020428987571751,0.0204444885371202,2.24505604289431e-05,0.0283083900956019,0.0282176070956484,1.0665263692691,1.07319110543114,1.07520480498438,1.24095198418577,1.09074227620563
